UNIQ_ID,mod_year,age,hour,drunk_dr,numoccs,deformed,motorcycle,rollover_binary,air_bag_deployed,speedrel_binary,fatality_target
10172_2_4,2008,12,15.0,0,15,6.0,0,0,0,0,0
10172_2_5,2008,18,15.0,0,15,6.0,0,0,0,0,0
10172_2_6,2008,12,15.0,0,15,6.0,0,0,0,0,0
10172_2_7,2008,12,15.0,0,15,6.0,0,0,0,0,0
10172_2_8,2008,8,15.0,0,15,6.0,0,0,0,0,0
10172_2_9,2008,12,15.0,0,15,6.0,0,0,0,0,0
10172_2_10,2008,13,15.0,0,15,6.0,0,0,0,0,0
10172_2_11,2008,14,15.0,0,15,6.0,0,0,0,0,0
10172_2_12,2008,13,15.0,0,15,6.0,0,0,0,0,0
10172_2_13,2008,14,15.0,0,15,6.0,0,0,0,0,0
10172_2_14,2008,8,15.0,0,15,6.0,0,0,0,0,0
10172_2_15,2008,9,15.0,0,15,6.0,0,0,0,0,0
10173_1_1,1999,37,23.0,1,1,6.0,0,1,1,0,1
10173_2_1,2001,21,23.0,1,4,6.0,0,0,1,0,0
10173_2_2,2001,30,23.0,1,4,6.0,0,0,1,0,0
10173_2_3,2001,3,23.0,1,4,6.0,0,0,0,0,0
10173_2_4,2001,9,23.0,1,4,6.0,0,0,0,0,0
10174_1_1,1996,47,5.0,0,1,6.0,0,0,0,0,1
10174_2_1,2007,39,5.0,0,1,6.0,0,0,1,0,0
10175_1_1,2003,50,11.0,0,2,6.0,0,0,1,1,1
10175_1_2,2003,21,11.0,0,2,6.0,0,0,1,1,0
10176_1_1,2002,36,7.0,0,1,6.0,0,0,1,0,1
10177_1_1,2001,59,20.0,0,3,6.0,0,0,0,0,0
10177_1_2,2001,42,20.0,0,3,6.0,0,0,0,0,0
10177_1_3,2001,57,20.0,0,3,6.0,0,0,0,0,1
10177_2_1,1994,25,20.0,0,1,6.0,0,0,0,0,0
10179_1_1,2007,68,10.0,0,1,6.0,1,0,0,0,1
10179_2_1,2004,28,10.0,0,1,6.0,0,0,0,0,0
10180_1_1,2007,19,20.0,0,3,6.0,0,0,1,0,0
10180_1_2,2007,18,20.0,0,3,6.0,0,0,1,0,1
10180_1_3,2007,19,20.0,0,3,6.0,0,0,0,0,1
10180_2_1,2014,48,20.0,0,1,6.0,0,0,1,0,0
10180_3_1,2014,45,20.0,0,1,6.0,0,0,1,0,0
10181_1_1,2007,16,3.0,0,1,6.0,0,1,1,1,1
10182_1_1,2012,53,9.0,0,1,2.0,0,0,0,0,0
10182_2_1,2010,83,9.0,0,1,6.0,0,0,1,1,1
10184_1_1,1998,52,15.0,1,1,6.0,0,1,0,1,1
10185_1_1,2010,20,14.0,0,1,6.0,0,0,1,0,1
10186_1_1,2006,65,13.0,0,3,6.0,0,1,1,1,0
10186_1_2,2006,61,13.0,0,3,6.0,0,1,0,1,1
10186_1_3,2006,50,13.0,0,3,6.0,0,1,0,1,0
